gene,sample,cancer_type,expression
PDCD1,TCGA-2F-A9KO-01A,Bladder Urothelial Carcinoma (TCGA),3.2244
PDCD1,TCGA-2F-A9KP-01A,Bladder Urothelial Carcinoma (TCGA),0.2679
PDCD1,TCGA-2F-A9KR-01A,Bladder Urothelial Carcinoma (TCGA),0.0
PDCD1,TCGA-2F-A9KW-01A,Bladder Urothelial Carcinoma (TCGA),0.1096
PDCD1,TCGA-4Z-AA7N-01A,Bladder Urothelial Carcinoma (TCGA),9.6199
PDCD1,TCGA-4Z-AA7Q-01A,Bladder Urothelial Carcinoma (TCGA),2.367
PDCD1,TCGA-4Z-AA7R-01A,Bladder Urothelial Carcinoma (TCGA),0.0685
PDCD1,TCGA-4Z-AA7S-01A,Bladder Urothelial Carcinoma (TCGA),0.0
PDCD1,TCGA-4Z-AA80-01A,Bladder Urothelial Carcinoma (TCGA),0.0
PDCD1,TCGA-4Z-AA81-01A,Bladder Urothelial Carcinoma (TCGA),0.0
PDCD1,TCGA-4Z-AA82-01A,Bladder Urothelial Carcinoma (TCGA),0.3412
PDCD1,TCGA-4Z-AA86-01A,Bladder Urothelial Carcinoma (TCGA),5.3308
PDCD1,TCGA-5N-A9KI-01A,Bladder Urothelial Carcinoma (TCGA),0.5339
PDCD1,TCGA-5N-A9KM-01A,Bladder Urothelial Carcinoma (TCGA),0.4606
PDCD1,TCGA-BL-A13I-01A,Bladder Urothelial Carcinoma (TCGA),0.0
PDCD1,TCGA-BL-A13J-01A,Bladder Urothelial Carcinoma (TCGA),0.5346
PDCD1,TCGA-BL-A3JM-01A,Bladder Urothelial Carcinoma (TCGA),3.1193
PDCD1,TCGA-BT-A0S7-01A,Bladder Urothelial Carcinoma (TCGA),0.1527
PDCD1,TCGA-BT-A0YX-01A,Bladder Urothelial Carcinoma (TCGA),1.5484
PDCD1,TCGA-BT-A20J-01A,Bladder Urothelial Carcinoma (TCGA),2.3928
PDCD1,TCGA-BT-A20N-01A,Bladder Urothelial Carcinoma (TCGA),0.1595
PDCD1,TCGA-BT-A20O-01A,Bladder Urothelial Carcinoma (TCGA),57.5826
PDCD1,TCGA-BT-A20P-01A,Bladder Urothelial Carcinoma (TCGA),0.0
PDCD1,TCGA-BT-A20Q-01A,Bladder Urothelial Carcinoma (TCGA),2.2735
PDCD1,TCGA-BT-A20T-01A,Bladder Urothelial Carcinoma (TCGA),0.0
PDCD1,TCGA-BT-A20U-01A,Bladder Urothelial Carcinoma (TCGA),3.6872
PDCD1,TCGA-BT-A20V-01A,Bladder Urothelial Carcinoma (TCGA),0.6761
PDCD1,TCGA-BT-A20W-01A,Bladder Urothelial Carcinoma (TCGA),1.0702
PDCD1,TCGA-BT-A20X-01A,Bladder Urothelial Carcinoma (TCGA),0.6504
PDCD1,TCGA-BT-A2LB-01A,Bladder Urothelial Carcinoma (TCGA),1.302
PDCD1,TCGA-BT-A2LD-01A,Bladder Urothelial Carcinoma (TCGA),0.6919
PDCD1,TCGA-BT-A3PH-01A,Bladder Urothelial Carcinoma (TCGA),0.131
PDCD1,TCGA-BT-A3PK-01A,Bladder Urothelial Carcinoma (TCGA),0.8828
PDCD1,TCGA-C4-A0EZ-01A,Bladder Urothelial Carcinoma (TCGA),0.1777
PDCD1,TCGA-C4-A0F7-01A,Bladder Urothelial Carcinoma (TCGA),0.0926
PDCD1,TCGA-CF-A47T-01A,Bladder Urothelial Carcinoma (TCGA),0.0186
PDCD1,TCGA-CF-A9FL-01A,Bladder Urothelial Carcinoma (TCGA),0.1135
PDCD1,TCGA-CU-A0YN-01A,Bladder Urothelial Carcinoma (TCGA),1.1616
PDCD1,TCGA-CU-A0YO-01A,Bladder Urothelial Carcinoma (TCGA),0.7747
PDCD1,TCGA-CU-A0YR-01A,Bladder Urothelial Carcinoma (TCGA),1.1062
PDCD1,TCGA-CU-A5W6-01A,Bladder Urothelial Carcinoma (TCGA),0.5431
PDCD1,TCGA-CU-A72E-01A,Bladder Urothelial Carcinoma (TCGA),0.1501
PDCD1,TCGA-DK-A1A3-01A,Bladder Urothelial Carcinoma (TCGA),1.4189
PDCD1,TCGA-DK-A1A5-01A,Bladder Urothelial Carcinoma (TCGA),0.8308
PDCD1,TCGA-DK-A1AB-01A,Bladder Urothelial Carcinoma (TCGA),1.5218
PDCD1,TCGA-DK-A2HX-01A,Bladder Urothelial Carcinoma (TCGA),12.0692
PDCD1,TCGA-DK-A2I2-01A,Bladder Urothelial Carcinoma (TCGA),0.68
PDCD1,TCGA-DK-A3IK-01A,Bladder Urothelial Carcinoma (TCGA),0.3024
PDCD1,TCGA-DK-A3IL-01A,Bladder Urothelial Carcinoma (TCGA),0.0
PDCD1,TCGA-DK-A3IM-01A,Bladder Urothelial Carcinoma (TCGA),0.0
PDCD1,TCGA-DK-A3IN-01A,Bladder Urothelial Carcinoma (TCGA),0.0
PDCD1,TCGA-DK-A3IQ-01A,Bladder Urothelial Carcinoma (TCGA),0.0896
PDCD1,TCGA-DK-A3IU-01A,Bladder Urothelial Carcinoma (TCGA),18.998
PDCD1,TCGA-DK-A3X2-01A,Bladder Urothelial Carcinoma (TCGA),0.0
PDCD1,TCGA-DK-AA6L-01A,Bladder Urothelial Carcinoma (TCGA),3.8728
PDCD1,TCGA-DK-AA6Q-01A,Bladder Urothelial Carcinoma (TCGA),6.8656
PDCD1,TCGA-DK-AA6W-01A,Bladder Urothelial Carcinoma (TCGA),0.7931
PDCD1,TCGA-DK-AA75-01A,Bladder Urothelial Carcinoma (TCGA),0.0
PDCD1,TCGA-E5-A4TZ-01A,Bladder Urothelial Carcinoma (TCGA),0.2449
PDCD1,TCGA-E7-A3X6-01A,Bladder Urothelial Carcinoma (TCGA),2.2758
PDCD1,TCGA-E7-A4XJ-01A,Bladder Urothelial Carcinoma (TCGA),0.0154
PDCD1,TCGA-E7-A541-01A,Bladder Urothelial Carcinoma (TCGA),8.1691
PDCD1,TCGA-E7-A97P-01A,Bladder Urothelial Carcinoma (TCGA),3.2896
PDCD1,TCGA-FD-A3B3-01A,Bladder Urothelial Carcinoma (TCGA),5.4711
PDCD1,TCGA-FD-A3B4-01A,Bladder Urothelial Carcinoma (TCGA),3.5655
PDCD1,TCGA-FD-A3B5-01A,Bladder Urothelial Carcinoma (TCGA),0.135
PDCD1,TCGA-FD-A3B6-01A,Bladder Urothelial Carcinoma (TCGA),6.8544
PDCD1,TCGA-FD-A3B7-01A,Bladder Urothelial Carcinoma (TCGA),8.2738
PDCD1,TCGA-FD-A3N5-01A,Bladder Urothelial Carcinoma (TCGA),0.9139
PDCD1,TCGA-FD-A3SJ-01A,Bladder Urothelial Carcinoma (TCGA),0.3172
PDCD1,TCGA-FD-A3SL-01A,Bladder Urothelial Carcinoma (TCGA),0.0
PDCD1,TCGA-FD-A3SM-01A,Bladder Urothelial Carcinoma (TCGA),0.1365
PDCD1,TCGA-FD-A3SO-01A,Bladder Urothelial Carcinoma (TCGA),0.0
PDCD1,TCGA-FD-A3SQ-01A,Bladder Urothelial Carcinoma (TCGA),0.8832
PDCD1,TCGA-FD-A3SR-01A,Bladder Urothelial Carcinoma (TCGA),0.0
PDCD1,TCGA-FD-A3SS-01A,Bladder Urothelial Carcinoma (TCGA),0.0962
PDCD1,TCGA-FD-A43Y-01A,Bladder Urothelial Carcinoma (TCGA),1.089
PDCD1,TCGA-FD-A5BT-01A,Bladder Urothelial Carcinoma (TCGA),8.3466
PDCD1,TCGA-FD-A5BV-01A,Bladder Urothelial Carcinoma (TCGA),0.0737
PDCD1,TCGA-FD-A5BX-01A,Bladder Urothelial Carcinoma (TCGA),0.0
PDCD1,TCGA-FD-A5BZ-01A,Bladder Urothelial Carcinoma (TCGA),0.0
PDCD1,TCGA-FD-A5C0-01A,Bladder Urothelial Carcinoma (TCGA),0.3634
PDCD1,TCGA-FD-A62O-01A,Bladder Urothelial Carcinoma (TCGA),0.0739
PDCD1,TCGA-FD-A62P-01A,Bladder Urothelial Carcinoma (TCGA),1.923
PDCD1,TCGA-FD-A62S-01A,Bladder Urothelial Carcinoma (TCGA),0.0
PDCD1,TCGA-FD-A6TD-01A,Bladder Urothelial Carcinoma (TCGA),1.9324
PDCD1,TCGA-FD-A6TF-01A,Bladder Urothelial Carcinoma (TCGA),0.7229
PDCD1,TCGA-FD-A6TG-01A,Bladder Urothelial Carcinoma (TCGA),0.9552
PDCD1,TCGA-FD-A6TH-01A,Bladder Urothelial Carcinoma (TCGA),0.6434
PDCD1,TCGA-FD-A6TI-01A,Bladder Urothelial Carcinoma (TCGA),0.4598
PDCD1,TCGA-FJ-A3Z9-01A,Bladder Urothelial Carcinoma (TCGA),0.014
PDCD1,TCGA-FJ-A3ZE-01A,Bladder Urothelial Carcinoma (TCGA),0.0
PDCD1,TCGA-FJ-A871-01A,Bladder Urothelial Carcinoma (TCGA),0.1444
PDCD1,TCGA-G2-A2EC-01A,Bladder Urothelial Carcinoma (TCGA),1.2053
PDCD1,TCGA-G2-A2EL-01A,Bladder Urothelial Carcinoma (TCGA),0.0575
PDCD1,TCGA-G2-A2EO-01A,Bladder Urothelial Carcinoma (TCGA),3.2907
PDCD1,TCGA-G2-A2ES-01A,Bladder Urothelial Carcinoma (TCGA),1.1
PDCD1,TCGA-G2-A3IB-01A,Bladder Urothelial Carcinoma (TCGA),0.2142
PDCD1,TCGA-G2-A3IE-01A,Bladder Urothelial Carcinoma (TCGA),0.0
PDCD1,TCGA-G2-AA3C-01A,Bladder Urothelial Carcinoma (TCGA),0.0
PDCD1,TCGA-GC-A3BM-01A,Bladder Urothelial Carcinoma (TCGA),0.6961
PDCD1,TCGA-GC-A3I6-01A,Bladder Urothelial Carcinoma (TCGA),0.0
