gene,Bladder Urothelial Carcinoma (TCGA),Breast Invasive Carcinoma (TCGA),Breast Invasive Carcinoma (validation),Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma (TCGA),Colon Adenocarcinoma (TCGA),Colon Adenocarcinoma (validation),Glioblastoma Multiforme (TCGA),Glioblastoma Multiforme (validation),Head and Neck Squamous Cell Carcinoma (TCGA),Kidney Chromophobe (TCGA),Kidney Renal Clear Cell Carcinoma (TCGA),Kidney Renal Clear Cell Carcinoma (validation),Kidney Renal Papillary Cell Carcinoma (TCGA),Liver Hepatocellular Carcinoma (TCGA),Liver Hepatocellular Carcinoma (validation),Lung Adenocarcinoma (TCGA),Lung Adenocarcinoma (validation),Lung Squamous Cell Carcinoma (TCGA),Lung Squamous Cell Carcinoma (validation),Ovary Serous Cystadenocarcinoma (TCGA),Ovary Serous Cystadenocarcinoma (validation),Pancreatic Adenocarcinoma (TCGA),Pancreatic Adenocarcinoma (validation),Prostate Adenocarcinoma (TCGA),Rectum Adenocarcinoma (TCGA),Rectum Adenocarcinoma (validation),Skin Cuteneous Melanoma (TCGA),Stomach Adenocarcinoma (TCGA),Testicular Germ Cell Tumor (TCGA),Thyroid Carcinoma (TCGA),Uterine Corpus Endometrial Carcinoma (TCGA)
PDCD1,1.829728402366864,1.4541273972602742,8.434212,3.2718212014134274,1.2502251968503937,1.6064835390946501,0.3850021276595745,0.21511206896551724,1.98195,0.3310078125,3.391017274472169,4.8567919999999996,1.6059198581560283,1.4151886740331492,2.294293073593074,2.5476076458752517,0.9569761904761905,2.032833537832311,0.8634382352941177,0.818195128939828,0.8357604938271606,1.6514761363636365,0.96349625,0.8010077083333333,0.9257079545454545,1.120253623188406,3.1326343434343435,1.92137225433526,4.545202255639097,1.5706496969696968,2.2847386363636364
CD274,4.474691124260355,2.1574592954990215,10.270686000000001,8.01443038869258,1.7816086614173228,4.8419790123456785,3.308253191489362,15.635036206896551,6.74589674796748,7.00065,3.0760690978886758,5.034383,3.2774485815602836,0.6720795580110497,2.872805194805195,6.2170949698189135,14.456383809523809,8.75807873210634,23.622117647058825,1.0875048710601718,1.365293827160494,1.9264136363636366,3.91914125,0.75515,1.4224875,3.7556265700483094,2.2596131313131314,3.7846251445086705,3.403566917293233,3.780702828282828,0.8795761363636363
CTLA4,2.7040733727810653,1.8815761252446184,11.923984,3.4256632508833924,1.7103393700787402,10.9124012345679,1.0797063829787232,0.8249775862068965,3.2788042682926832,0.063978125,1.4083994241842612,2.156468,0.5835638297872341,0.749914640883978,3.6066056277056275,3.075882494969819,9.154218095238095,2.673993047034765,9.624592647058824,0.7828558739255015,0.7459222222222222,2.085444318181818,1.8688175,0.9812097916666667,1.7569625,11.586705314009661,3.5641707070707076,4.058195953757226,4.7167887218045115,1.1582678787878786,1.999315340909091
TIGIT,5.116528402366864,4.5064387475538155,13.835835999999999,5.771681272084805,2.8229748031496067,5.610505967078189,0.47158297872340427,1.627443103448276,5.547109146341464,0.4400671875,4.194320153550864,5.5461,1.2786716312056738,1.5356613259668508,2.907085714285714,5.752283299798792,10.485015238095238,6.2057918200409,12.08407205882353,1.36730888252149,1.0752851851851852,3.557911931818182,2.17568875,2.5705347916666668,2.3207579545454546,4.562690338164251,3.543649494949495,4.15543063583815,7.807453383458647,2.180151717171717,4.628453409090909
LAG3,5.822778106508876,3.8931664383561646,14.252916,10.076600353356891,2.4375905511811022,3.612436625514403,0.9986312056737587,0.9440362068965518,6.842255081300814,0.517175,7.280399232245681,9.018557,2.338501063829787,2.4603613259668506,5.5709805194805195,5.76071569416499,3.6581571428571427,5.211969325153373,4.058960294117647,4.186194842406877,3.6699185185185184,2.0372857954545456,1.55869375,1.5873052083333334,1.8066829545454546,2.3641695652173915,10.579216161616161,6.250791907514451,20.37355338345865,1.8163442424242424,7.8003903409090904
HAVCR2,9.668250887573965,14.46275322896282,30.35794,12.144928268551237,6.530810236220472,14.97313024691358,38.64791205673759,69.01008448275861,8.938808943089432,6.85228125,61.63331439539348,94.819534,43.91165957446808,4.322103591160221,11.407418181818182,17.461554527162978,32.80020476190476,12.55581308793456,26.276079411764705,8.938607736389685,5.659453086419753,13.835224431818181,13.733702500000001,3.790294375,5.512868181818182,11.953116425120772,7.677569696969696,9.47687514450867,14.495564661654136,5.771780808080808,9.601470454545455
TOX,2.0000136094674557,1.5275680039138944,5.885538,1.7774289752650176,3.6127807086614174,9.486576131687242,8.140787943262412,27.015296551724138,1.8881371951219512,0.44764375,2.8824328214971207,3.774914,1.4692251773049645,0.9438842541436464,1.1721242424242424,5.114908048289738,6.374525714285714,2.737443762781186,4.191545588235294,3.917959885386819,2.2324234567901233,4.26582159090909,3.5385712499999995,1.7346714583333334,3.2503863636363635,8.121716425120773,1.222180808080808,5.519353179190752,4.484428571428571,1.1049771717171717,3.226256818181818
ENTPD1,12.501475147928995,14.91971457925636,28.096896,8.710416607773851,10.032438188976379,24.378632921810702,19.14197304964539,27.78673793103448,9.469180691056911,6.2779140625,24.099937811900194,25.827118999999996,8.137925177304965,3.7928740331491717,6.139964069264069,12.697650100603623,28.155477142857144,10.352518200408998,27.24093823529412,5.158610028653295,5.9303938271604935,15.744498295454546,29.0532775,6.893844791666667,10.37559659090909,25.118291304347824,9.59188787878788,14.463442485549132,9.717431578947368,71.2018808080808,11.084139772727273
ICOS,0.9377041420118344,1.366291095890411,7.507645999999999,1.4446219081272085,0.8382673228346457,3.303532304526749,0.14311560283687944,0.7171706896551724,2.016782520325203,0.157184375,1.0284953934740884,1.654719,0.24575390070921985,0.33793093922651934,1.610725974025974,1.5589110663983905,3.956827619047619,1.3063141104294478,4.065247058823529,0.4676091690544413,0.5173098765432098,0.9153221590909091,1.127675,0.40895125000000004,0.7719238636363636,3.1980811594202896,0.9727171717171718,1.4586245664739885,2.048438345864662,0.5913420202020202,0.4732710227272727
TNFRSF9,1.725630769230769,1.525234637964775,4.081436,2.4601795053003537,1.317638188976378,3.9959668724279833,0.47588581560283694,2.1661448275862067,2.142787398373984,0.59335625,3.5155147792706334,4.168464,1.627809219858156,0.9378718232044199,0.6080307359307359,2.9303132796780686,6.7941971428571435,2.3543302658486707,5.799266176470589,1.063043553008596,0.5356160493827161,1.3568107954545454,1.7126750000000002,0.5827964583333334,1.0868613636363635,3.910312077294686,1.7386767676767676,2.6309534682080926,3.2533616541353383,0.9312531313131314,2.0651357954545455
