gene,cell_type,expression
PDCD1,basophil,0.0
PDCD1,classical_monocyte,0.0
PDCD1,eosinophil,0.0
PDCD1,gdt_cell,4.8
PDCD1,intermediate_monocyte,0.0
PDCD1,mait_t_cell,4.7
PDCD1,memory_b_cell,0.1
PDCD1,memory_cd4_t_cell,8.1
PDCD1,memory_cd8_t_cell,12.3
PDCD1,myeloid_dc,0.0
PDCD1,naive_b_cell,0.0
PDCD1,naive_cd4_t_cell,0.7
PDCD1,naive_cd8_t_cell,1.1
PDCD1,neutrophil,0.0
PDCD1,nk_cell,0.0
PDCD1,non_classical_monocyte,0.0
PDCD1,plasmacytoid_dc,0.0
PDCD1,t_reg,3.7
PDCD1,total_pbmc,1.1
CD274,basophil,5.0
CD274,classical_monocyte,0.0
CD274,eosinophil,0.2
CD274,gdt_cell,0.7
CD274,intermediate_monocyte,0.1
CD274,mait_t_cell,1.2
CD274,memory_b_cell,0.3
CD274,memory_cd4_t_cell,1.3
CD274,memory_cd8_t_cell,1.1
CD274,myeloid_dc,0.0
CD274,naive_b_cell,0.1
CD274,naive_cd4_t_cell,0.6
CD274,naive_cd8_t_cell,0.4
CD274,neutrophil,2.3
CD274,nk_cell,0.3
CD274,non_classical_monocyte,0.0
CD274,plasmacytoid_dc,0.0
CD274,t_reg,0.6
CD274,total_pbmc,0.2
CTLA4,basophil,0.0
CTLA4,classical_monocyte,0.0
CTLA4,eosinophil,0.0
CTLA4,gdt_cell,0.6
CTLA4,intermediate_monocyte,0.0
CTLA4,mait_t_cell,0.4
CTLA4,memory_b_cell,0.0
CTLA4,memory_cd4_t_cell,5.4
CTLA4,memory_cd8_t_cell,0.7
CTLA4,myeloid_dc,0.0
CTLA4,naive_b_cell,0.0
CTLA4,naive_cd4_t_cell,1.2
CTLA4,naive_cd8_t_cell,0.2
CTLA4,neutrophil,0.0
CTLA4,nk_cell,0.0
CTLA4,non_classical_monocyte,0.0
CTLA4,plasmacytoid_dc,0.0
CTLA4,t_reg,36.1
CTLA4,total_pbmc,0.2
TIGIT,basophil,0.3
TIGIT,classical_monocyte,0.2
TIGIT,eosinophil,0.1
TIGIT,gdt_cell,32.5
TIGIT,intermediate_monocyte,0.1
TIGIT,mait_t_cell,3.3
TIGIT,memory_b_cell,1.0
TIGIT,memory_cd4_t_cell,44.4
TIGIT,memory_cd8_t_cell,88.8
TIGIT,myeloid_dc,0.1
TIGIT,naive_b_cell,0.7
TIGIT,naive_cd4_t_cell,4.7
TIGIT,naive_cd8_t_cell,37.9
TIGIT,neutrophil,0.5
TIGIT,nk_cell,18.6
TIGIT,non_classical_monocyte,0.2
TIGIT,plasmacytoid_dc,0.9
TIGIT,t_reg,166.9
TIGIT,total_pbmc,9.7
LAG3,basophil,0.0
LAG3,classical_monocyte,0.0
LAG3,eosinophil,0.0
LAG3,gdt_cell,13.2
LAG3,intermediate_monocyte,0.0
LAG3,mait_t_cell,9.9
LAG3,memory_b_cell,0.0
LAG3,memory_cd4_t_cell,2.2
LAG3,memory_cd8_t_cell,10.9
LAG3,myeloid_dc,0.0
LAG3,naive_b_cell,0.0
LAG3,naive_cd4_t_cell,0.6
LAG3,naive_cd8_t_cell,4.1
LAG3,neutrophil,0.0
LAG3,nk_cell,0.0
LAG3,non_classical_monocyte,0.0
LAG3,plasmacytoid_dc,0.2
LAG3,t_reg,1.8
LAG3,total_pbmc,0.4
HAVCR2,basophil,8.9
HAVCR2,classical_monocyte,45.8
HAVCR2,eosinophil,0.1
HAVCR2,gdt_cell,12.1
HAVCR2,intermediate_monocyte,50.5
HAVCR2,mait_t_cell,2.0
HAVCR2,memory_b_cell,0.8
HAVCR2,memory_cd4_t_cell,3.8
HAVCR2,memory_cd8_t_cell,6.0
HAVCR2,myeloid_dc,100.5
HAVCR2,naive_b_cell,0.4
HAVCR2,naive_cd4_t_cell,4.4
HAVCR2,naive_cd8_t_cell,6.5
HAVCR2,neutrophil,1.7
HAVCR2,nk_cell,77.2
HAVCR2,non_classical_monocyte,37.5
HAVCR2,plasmacytoid_dc,11.8
HAVCR2,t_reg,7.5
HAVCR2,total_pbmc,15.7
TOX,basophil,15.8
TOX,classical_monocyte,0.1
TOX,eosinophil,2.6
TOX,gdt_cell,12.7
TOX,intermediate_monocyte,0.0
TOX,mait_t_cell,5.3
TOX,memory_b_cell,3.8
TOX,memory_cd4_t_cell,8.0
TOX,memory_cd8_t_cell,18.0
TOX,myeloid_dc,1.2
TOX,naive_b_cell,0.8
TOX,naive_cd4_t_cell,3.0
TOX,naive_cd8_t_cell,9.4
TOX,neutrophil,0.2
TOX,nk_cell,19.6
TOX,non_classical_monocyte,0.0
TOX,plasmacytoid_dc,0.0
TOX,t_reg,31.5
TOX,total_pbmc,2.5
ENTPD1,basophil,0.4
ENTPD1,classical_monocyte,31.5
ENTPD1,eosinophil,82.6
ENTPD1,gdt_cell,0.6
ENTPD1,intermediate_monocyte,22.5
ENTPD1,mait_t_cell,1.1
ENTPD1,memory_b_cell,9.5
ENTPD1,memory_cd4_t_cell,1.5
ENTPD1,memory_cd8_t_cell,1.1
ENTPD1,myeloid_dc,27.2
ENTPD1,naive_b_cell,8.2
ENTPD1,naive_cd4_t_cell,0.5
ENTPD1,naive_cd8_t_cell,0.5
ENTPD1,neutrophil,31.9
ENTPD1,nk_cell,1.5
ENTPD1,non_classical_monocyte,5.6
ENTPD1,plasmacytoid_dc,1.9
ENTPD1,t_reg,11.4
ENTPD1,total_pbmc,6.3
ICOS,basophil,0.0
ICOS,classical_monocyte,0.0
ICOS,eosinophil,0.0
ICOS,gdt_cell,3.8
ICOS,intermediate_monocyte,0.0
ICOS,mait_t_cell,4.1
ICOS,memory_b_cell,0.0
ICOS,memory_cd4_t_cell,14.1
ICOS,memory_cd8_t_cell,6.8
ICOS,myeloid_dc,0.0
ICOS,naive_b_cell,0.0
ICOS,naive_cd4_t_cell,14.0
ICOS,naive_cd8_t_cell,6.9
ICOS,neutrophil,0.0
ICOS,nk_cell,0.5
ICOS,non_classical_monocyte,0.0
ICOS,plasmacytoid_dc,0.0
ICOS,t_reg,25.4
ICOS,total_pbmc,2.2
TNFRSF9,basophil,0.9
TNFRSF9,classical_monocyte,1.6
TNFRSF9,eosinophil,0.2
TNFRSF9,gdt_cell,1.9
TNFRSF9,intermediate_monocyte,0.5
TNFRSF9,mait_t_cell,0.2
TNFRSF9,memory_b_cell,0.1
TNFRSF9,memory_cd4_t_cell,1.0
TNFRSF9,memory_cd8_t_cell,9.4
TNFRSF9,myeloid_dc,1.2
TNFRSF9,naive_b_cell,0.3
TNFRSF9,naive_cd4_t_cell,0.2
TNFRSF9,naive_cd8_t_cell,1.6
TNFRSF9,neutrophil,5.4
TNFRSF9,nk_cell,5.0
TNFRSF9,non_classical_monocyte,0.1
TNFRSF9,plasmacytoid_dc,0.2
TNFRSF9,t_reg,15.9
TNFRSF9,total_pbmc,0.7
