gene,basophil,classical_monocyte,eosinophil,gdt_cell,intermediate_monocyte,mait_t_cell,memory_b_cell,memory_cd4_t_cell,memory_cd8_t_cell,myeloid_dc,naive_b_cell,naive_cd4_t_cell,naive_cd8_t_cell,neutrophil,nk_cell,non_classical_monocyte,plasmacytoid_dc,t_reg,total_pbmc
PDCD1,0.0,0.0,0.0,4.8,0.0,4.7,0.1,8.1,12.3,0.0,0.0,0.7,1.1,0.0,0.0,0.0,0.0,3.7,1.1
CD274,5.0,0.0,0.2,0.7,0.1,1.2,0.3,1.3,1.1,0.0,0.1,0.6,0.4,2.3,0.3,0.0,0.0,0.6,0.2
CTLA4,0.0,0.0,0.0,0.6,0.0,0.4,0.0,5.4,0.7,0.0,0.0,1.2,0.2,0.0,0.0,0.0,0.0,36.1,0.2
TIGIT,0.3,0.2,0.1,32.5,0.1,3.3,1.0,44.4,88.8,0.1,0.7,4.7,37.9,0.5,18.6,0.2,0.9,166.9,9.7
LAG3,0.0,0.0,0.0,13.2,0.0,9.9,0.0,2.2,10.9,0.0,0.0,0.6,4.1,0.0,0.0,0.0,0.2,1.8,0.4
HAVCR2,8.9,45.8,0.1,12.1,50.5,2.0,0.8,3.8,6.0,100.5,0.4,4.4,6.5,1.7,77.2,37.5,11.8,7.5,15.7
TOX,15.8,0.1,2.6,12.7,0.0,5.3,3.8,8.0,18.0,1.2,0.8,3.0,9.4,0.2,19.6,0.0,0.0,31.5,2.5
ENTPD1,0.4,31.5,82.6,0.6,22.5,1.1,9.5,1.5,1.1,27.2,8.2,0.5,0.5,31.9,1.5,5.6,1.9,11.4,6.3
ICOS,0.0,0.0,0.0,3.8,0.0,4.1,0.0,14.1,6.8,0.0,0.0,14.0,6.9,0.0,0.5,0.0,0.0,25.4,2.2
TNFRSF9,0.9,1.6,0.2,1.9,0.5,0.2,0.1,1.0,9.4,1.2,0.3,0.2,1.6,5.4,5.0,0.1,0.2,15.9,0.7
