Gene	Gene name	Immune cell	TPM	pTPM	nTPM
ENSG00000000003	TSPAN6	basophil	0.1	0.2	0.2
ENSG00000000003	TSPAN6	classical monocyte	0.0	0.0	0.0
ENSG00000000003	TSPAN6	eosinophil	0.0	0.0	0.0
ENSG00000000003	TSPAN6	gdT-cell	0.3	0.4	0.3
ENSG00000000003	TSPAN6	intermediate monocyte	0.0	0.0	0.0
ENSG00000000003	TSPAN6	MAIT T-cell	1.0	1.2	1.1
ENSG00000000003	TSPAN6	memory B-cell	0.0	0.1	0.1
ENSG00000000003	TSPAN6	memory CD4 T-cell	0.7	0.9	0.8
ENSG00000000003	TSPAN6	memory CD8 T-cell	0.3	0.4	0.3
ENSG00000000003	TSPAN6	myeloid DC	0.0	0.0	0.0
ENSG00000000003	TSPAN6	naive B-cell	0.0	0.1	0.1
ENSG00000000003	TSPAN6	naive CD4 T-cell	1.9	2.3	2.1
ENSG00000000003	TSPAN6	naive CD8 T-cell	1.1	1.3	1.2
ENSG00000000003	TSPAN6	neutrophil	0.1	0.2	0.2
ENSG00000000003	TSPAN6	NK-cell	0.1	0.2	0.1
ENSG00000000003	TSPAN6	non-classical monocyte	0.0	0.0	0.0
ENSG00000000003	TSPAN6	plasmacytoid DC	0.1	0.1	0.1
ENSG00000000003	TSPAN6	T-reg	0.0	0.0	0.0
ENSG00000000003	TSPAN6	total PBMC	0.2	0.2	0.3
ENSG00000000005	TNMD	basophil	0.0	0.0	0.0
ENSG00000000005	TNMD	classical monocyte	0.0	0.0	0.0
ENSG00000000005	TNMD	eosinophil	0.0	0.0	0.0
ENSG00000000005	TNMD	gdT-cell	0.0	0.0	0.0
ENSG00000000005	TNMD	intermediate monocyte	0.0	0.0	0.0
ENSG00000000005	TNMD	MAIT T-cell	0.0	0.0	0.0
ENSG00000000005	TNMD	memory B-cell	0.0	0.0	0.0
ENSG00000000005	TNMD	memory CD4 T-cell	0.0	0.0	0.0
ENSG00000000005	TNMD	memory CD8 T-cell	0.0	0.0	0.0
ENSG00000000005	TNMD	myeloid DC	0.0	0.0	0.0
ENSG00000000005	TNMD	naive B-cell	0.0	0.0	0.0
ENSG00000000005	TNMD	naive CD4 T-cell	0.0	0.0	0.0
ENSG00000000005	TNMD	naive CD8 T-cell	0.0	0.0	0.0
ENSG00000000005	TNMD	neutrophil	0.0	0.0	0.0
ENSG00000000005	TNMD	NK-cell	0.0	0.0	0.0
ENSG00000000005	TNMD	non-classical monocyte	0.0	0.0	0.0
ENSG00000000005	TNMD	plasmacytoid DC	0.0	0.0	0.0
ENSG00000000005	TNMD	T-reg	0.0	0.0	0.0
ENSG00000000005	TNMD	total PBMC	0.0	0.0	0.0
ENSG00000000419	DPM1	basophil	10.6	13.1	14.2
ENSG00000000419	DPM1	classical monocyte	12.7	15.3	16.4
ENSG00000000419	DPM1	eosinophil	14.9	18.6	18.5
ENSG00000000419	DPM1	gdT-cell	17.7	21.7	16.4
ENSG00000000419	DPM1	intermediate monocyte	15.5	18.7	19.2
ENSG00000000419	DPM1	MAIT T-cell	19.6	23.8	20.0
ENSG00000000419	DPM1	memory B-cell	13.1	16.1	18.5
ENSG00000000419	DPM1	memory CD4 T-cell	17.7	21.6	19.0
ENSG00000000419	DPM1	memory CD8 T-cell	17.8	21.8	17.8
ENSG00000000419	DPM1	myeloid DC	18.1	22.1	21.3
ENSG00000000419	DPM1	naive B-cell	12.5	15.6	16.0
ENSG00000000419	DPM1	naive CD4 T-cell	18.1	22.1	20.3
ENSG00000000419	DPM1	naive CD8 T-cell	21.0	25.7	22.7
ENSG00000000419	DPM1	neutrophil	12.2	16.2	18.9
ENSG00000000419	DPM1	NK-cell	21.0	26.0	18.7
ENSG00000000419	DPM1	non-classical monocyte	16.0	19.2	19.2
ENSG00000000419	DPM1	plasmacytoid DC	19.9	24.6	21.8
ENSG00000000419	DPM1	T-reg	17.8	22.0	20.5
ENSG00000000419	DPM1	total PBMC	6.9	8.1	16.1
ENSG00000000457	SCYL3	basophil	9.5	11.8	13.6
ENSG00000000457	SCYL3	classical monocyte	2.5	3.0	3.2
ENSG00000000457	SCYL3	eosinophil	7.0	8.7	8.6
ENSG00000000457	SCYL3	gdT-cell	6.8	8.4	6.3
ENSG00000000457	SCYL3	intermediate monocyte	2.7	3.3	3.4
ENSG00000000457	SCYL3	MAIT T-cell	8.1	9.9	8.5
ENSG00000000457	SCYL3	memory B-cell	4.6	5.6	6.7
ENSG00000000457	SCYL3	memory CD4 T-cell	7.6	9.3	8.3
ENSG00000000457	SCYL3	memory CD8 T-cell	6.9	8.5	7.0
ENSG00000000457	SCYL3	myeloid DC	4.3	5.3	5.1
ENSG00000000457	SCYL3	naive B-cell	4.5	5.6	6.3
ENSG00000000457	SCYL3	naive CD4 T-cell	6.3	7.7	7.0
ENSG00000000457	SCYL3	naive CD8 T-cell	5.5	6.8	5.8
ENSG00000000457	SCYL3	neutrophil	4.4	5.9	6.8
ENSG00000000457	SCYL3	NK-cell	11.1	13.7	10.6
ENSG00000000457	SCYL3	non-classical monocyte	3.1	3.8	3.8
ENSG00000000457	SCYL3	plasmacytoid DC	10.5	13.1	11.5
ENSG00000000457	SCYL3	T-reg	7.1	8.7	8.1
ENSG00000000457	SCYL3	total PBMC	2.3	2.7	4.8
ENSG00000000460	C1orf112	basophil	2.0	2.5	2.2
ENSG00000000460	C1orf112	classical monocyte	0.6	0.8	0.9
ENSG00000000460	C1orf112	eosinophil	0.8	1.0	1.0
ENSG00000000460	C1orf112	gdT-cell	0.7	0.8	0.6
ENSG00000000460	C1orf112	intermediate monocyte	1.7	2.0	2.0
ENSG00000000460	C1orf112	MAIT T-cell	0.4	0.5	0.4
ENSG00000000460	C1orf112	memory B-cell	0.8	1.0	1.4
ENSG00000000460	C1orf112	memory CD4 T-cell	0.6	0.8	0.7
ENSG00000000460	C1orf112	memory CD8 T-cell	0.7	0.8	0.7
ENSG00000000460	C1orf112	myeloid DC	1.0	1.2	1.2
ENSG00000000460	C1orf112	naive B-cell	0.9	1.1	1.4
ENSG00000000460	C1orf112	naive CD4 T-cell	0.2	0.3	0.3
ENSG00000000460	C1orf112	naive CD8 T-cell	0.5	0.7	0.5
ENSG00000000460	C1orf112	neutrophil	0.1	0.1	0.1
ENSG00000000460	C1orf112	NK-cell	2.5	3.2	2.2
ENSG00000000460	C1orf112	non-classical monocyte	2.0	2.4	2.4
ENSG00000000460	C1orf112	plasmacytoid DC	0.3	0.4	0.4
ENSG00000000460	C1orf112	T-reg	0.7	0.8	0.7
ENSG00000000460	C1orf112	total PBMC	0.3	0.4	0.6
ENSG00000000938	FGR	basophil	19.3	24.0	30.7
ENSG00000000938	FGR	classical monocyte	284.5	341.0	381.5
ENSG00000000938	FGR	eosinophil	186.4	231.4	229.9
ENSG00000000938	FGR	gdT-cell	201.4	247.0	189.9
ENSG00000000938	FGR	intermediate monocyte	379.2	457.7	469.3
ENSG00000000938	FGR	MAIT T-cell	10.9	13.2	11.3
ENSG00000000938	FGR	memory B-cell	34.6	42.3	54.2
ENSG00000000938	FGR	memory CD4 T-cell	15.4	18.8	15.8
ENSG00000000938	FGR	memory CD8 T-cell	87.0	106.9	89.1
ENSG00000000938	FGR	myeloid DC	166.9	203.7	196.3
ENSG00000000938	FGR	naive B-cell	66.0	82.2	84.2
ENSG00000000938	FGR	naive CD4 T-cell	7.6	9.3	8.0
ENSG00000000938	FGR	naive CD8 T-cell	76.3	93.2	78.6
ENSG00000000938	FGR	neutrophil	175.8	233.1	273.7
ENSG00000000938	FGR	NK-cell	274.5	339.1	265.3
ENSG00000000938	FGR	non-classical monocyte	330.0	396.7	406.9
ENSG00000000938	FGR	plasmacytoid DC	8.3	10.2	9.0
ENSG00000000938	FGR	T-reg	1.1	1.4	1.3
ENSG00000000938	FGR	total PBMC	176.1	207.5	493.6
ENSG00000000971	CFH	basophil	0.0	0.0	0.0
ENSG00000000971	CFH	classical monocyte	0.1	0.1	0.1
ENSG00000000971	CFH	eosinophil	0.0	0.0	0.0
ENSG00000000971	CFH	gdT-cell	1.9	2.3	1.7
ENSG00000000971	CFH	intermediate monocyte	0.0	0.0	0.0
ENSG00000000971	CFH	MAIT T-cell	17.2	20.9	17.6
ENSG00000000971	CFH	memory B-cell	0.0	0.0	0.0
ENSG00000000971	CFH	memory CD4 T-cell	5.9	7.2	6.2
ENSG00000000971	CFH	memory CD8 T-cell	3.5	4.3	3.6
ENSG00000000971	CFH	myeloid DC	0.1	0.1	0.1
ENSG00000000971	CFH	naive B-cell	0.0	0.0	0.0
ENSG00000000971	CFH	naive CD4 T-cell	0.2	0.3	0.2
ENSG00000000971	CFH	naive CD8 T-cell	1.5	1.8	1.5
ENSG00000000971	CFH	neutrophil	0.1	0.2	0.3
ENSG00000000971	CFH	NK-cell	0.0	0.0	0.0
ENSG00000000971	CFH	non-classical monocyte	0.0	0.0	0.0
ENSG00000000971	CFH	plasmacytoid DC	0.0	0.0	0.0
ENSG00000000971	CFH	T-reg	0.0	0.0	0.0
ENSG00000000971	CFH	total PBMC	0.5	0.6	1.1
ENSG00000001036	FUCA2	basophil	23.7	29.5	38.8
ENSG00000001036	FUCA2	classical monocyte	66.9	80.4	84.9
ENSG00000001036	FUCA2	eosinophil	21.3	26.4	26.2
ENSG00000001036	FUCA2	gdT-cell	14.0	17.2	13.2
ENSG00000001036	FUCA2	intermediate monocyte	67.8	81.7	83.9
ENSG00000001036	FUCA2	MAIT T-cell	14.6	17.8	15.0
ENSG00000001036	FUCA2	memory B-cell	7.8	9.6	11.3
ENSG00000001036	FUCA2	memory CD4 T-cell	9.0	11.0	9.7
ENSG00000001036	FUCA2	memory CD8 T-cell	11.0	13.6	11.2
ENSG00000001036	FUCA2	myeloid DC	55.5	67.7	65.4
ENSG00000001036	FUCA2	naive B-cell	5.4	6.8	8.3
ENSG00000001036	FUCA2	naive CD4 T-cell	3.9	4.8	4.4
ENSG00000001036	FUCA2	naive CD8 T-cell	7.6	9.3	7.9
ENSG00000001036	FUCA2	neutrophil	3.6	4.8	5.5
ENSG00000001036	FUCA2	NK-cell	30.8	38.0	29.7
ENSG00000001036	FUCA2	non-classical monocyte	50.2	60.3	62.2
ENSG00000001036	FUCA2	plasmacytoid DC	9.3	11.5	10.2
ENSG00000001036	FUCA2	T-reg	16.9	20.9	19.8
ENSG00000001036	FUCA2	total PBMC	20.3	24.0	51.8
ENSG00000001084	GCLC	basophil	1.1	1.4	1.2
