gene,rank,cancer_type,expression
PDCD1,1,Breast Invasive Carcinoma (validation),8.434212
PDCD1,2,Kidney Renal Clear Cell Carcinoma (validation),4.8567919999999996
PDCD1,3,Testicular Germ Cell Tumor (TCGA),4.545202255639097
PDCD1,4,Kidney Renal Clear Cell Carcinoma (TCGA),3.391017274472169
PDCD1,5,Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma (TCGA),3.2718212014134274
PDCD1,6,Skin Cuteneous Melanoma (TCGA),3.1326343434343435
PDCD1,7,Lung Adenocarcinoma (TCGA),2.5476076458752517
PDCD1,8,Liver Hepatocellular Carcinoma (validation),2.294293073593074
PDCD1,9,Uterine Corpus Endometrial Carcinoma (TCGA),2.2847386363636364
PDCD1,10,Lung Squamous Cell Carcinoma (TCGA),2.032833537832311
PDCD1,11,Head and Neck Squamous Cell Carcinoma (TCGA),1.98195
PDCD1,12,Stomach Adenocarcinoma (TCGA),1.92137225433526
PDCD1,13,Bladder Urothelial Carcinoma (TCGA),1.829728402366864
PDCD1,14,Pancreatic Adenocarcinoma (TCGA),1.6514761363636365
PDCD1,15,Colon Adenocarcinoma (validation),1.6064835390946501
PDCD1,16,Kidney Renal Papillary Cell Carcinoma (TCGA),1.6059198581560283
PDCD1,17,Thyroid Carcinoma (TCGA),1.5706496969696968
PDCD1,18,Breast Invasive Carcinoma (TCGA),1.4541273972602742
PDCD1,19,Liver Hepatocellular Carcinoma (TCGA),1.4151886740331492
PDCD1,20,Colon Adenocarcinoma (TCGA),1.2502251968503937
PDCD1,21,Rectum Adenocarcinoma (validation),1.120253623188406
PDCD1,22,Pancreatic Adenocarcinoma (validation),0.96349625
PDCD1,23,Lung Adenocarcinoma (validation),0.9569761904761905
PDCD1,24,Rectum Adenocarcinoma (TCGA),0.9257079545454545
PDCD1,25,Lung Squamous Cell Carcinoma (validation),0.8634382352941177
PDCD1,26,Ovary Serous Cystadenocarcinoma (validation),0.8357604938271606
PDCD1,27,Ovary Serous Cystadenocarcinoma (TCGA),0.818195128939828
PDCD1,28,Prostate Adenocarcinoma (TCGA),0.8010077083333333
PDCD1,29,Glioblastoma Multiforme (TCGA),0.3850021276595745
PDCD1,30,Kidney Chromophobe (TCGA),0.3310078125
PDCD1,31,Glioblastoma Multiforme (validation),0.21511206896551724
CD274,1,Lung Squamous Cell Carcinoma (validation),23.622117647058825
CD274,2,Glioblastoma Multiforme (validation),15.635036206896551
CD274,3,Lung Adenocarcinoma (validation),14.456383809523809
CD274,4,Breast Invasive Carcinoma (validation),10.270686000000001
CD274,5,Lung Squamous Cell Carcinoma (TCGA),8.75807873210634
CD274,6,Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma (TCGA),8.01443038869258
CD274,7,Kidney Chromophobe (TCGA),7.00065
CD274,8,Head and Neck Squamous Cell Carcinoma (TCGA),6.74589674796748
CD274,9,Lung Adenocarcinoma (TCGA),6.2170949698189135
CD274,10,Kidney Renal Clear Cell Carcinoma (validation),5.034383
CD274,11,Colon Adenocarcinoma (validation),4.8419790123456785
CD274,12,Bladder Urothelial Carcinoma (TCGA),4.474691124260355
CD274,13,Pancreatic Adenocarcinoma (validation),3.91914125
CD274,14,Stomach Adenocarcinoma (TCGA),3.7846251445086705
CD274,15,Thyroid Carcinoma (TCGA),3.780702828282828
CD274,16,Rectum Adenocarcinoma (validation),3.7556265700483094
CD274,17,Testicular Germ Cell Tumor (TCGA),3.403566917293233
CD274,18,Glioblastoma Multiforme (TCGA),3.308253191489362
CD274,19,Kidney Renal Papillary Cell Carcinoma (TCGA),3.2774485815602836
CD274,20,Kidney Renal Clear Cell Carcinoma (TCGA),3.0760690978886758
CD274,21,Liver Hepatocellular Carcinoma (validation),2.872805194805195
CD274,22,Skin Cuteneous Melanoma (TCGA),2.2596131313131314
