gene,rank,cell_type,expression
CD274,1,basophil,5.0
CD274,2,neutrophil,2.3
CD274,3,memory_cd4_t_cell,1.3
CD274,4,mait_t_cell,1.2
CD274,5,memory_cd8_t_cell,1.1
CD274,6,gdt_cell,0.7
CD274,7,naive_cd4_t_cell,0.6
CD274,8,t_reg,0.6
CD274,9,naive_cd8_t_cell,0.4
CD274,10,memory_b_cell,0.3
CD274,11,nk_cell,0.3
CD274,12,eosinophil,0.2
CD274,13,total_pbmc,0.2
CD274,14,intermediate_monocyte,0.1
CD274,15,naive_b_cell,0.1
CD274,16,classical_monocyte,0.0
CD274,17,myeloid_dc,0.0
CD274,18,non_classical_monocyte,0.0
CD274,19,plasmacytoid_dc,0.0
CTLA4,1,t_reg,36.1
CTLA4,2,memory_cd4_t_cell,5.4
CTLA4,3,naive_cd4_t_cell,1.2
CTLA4,4,memory_cd8_t_cell,0.7
CTLA4,5,gdt_cell,0.6
CTLA4,6,mait_t_cell,0.4
CTLA4,7,naive_cd8_t_cell,0.2
CTLA4,8,total_pbmc,0.2
CTLA4,9,basophil,0.0
CTLA4,10,classical_monocyte,0.0
CTLA4,11,eosinophil,0.0
CTLA4,12,intermediate_monocyte,0.0
CTLA4,13,memory_b_cell,0.0
CTLA4,14,myeloid_dc,0.0
CTLA4,15,naive_b_cell,0.0
CTLA4,16,neutrophil,0.0
CTLA4,17,nk_cell,0.0
CTLA4,18,non_classical_monocyte,0.0
CTLA4,19,plasmacytoid_dc,0.0
ENTPD1,1,eosinophil,82.6
ENTPD1,2,neutrophil,31.9
ENTPD1,3,classical_monocyte,31.5
ENTPD1,4,myeloid_dc,27.2
ENTPD1,5,intermediate_monocyte,22.5
ENTPD1,6,t_reg,11.4
ENTPD1,7,memory_b_cell,9.5
ENTPD1,8,naive_b_cell,8.2
ENTPD1,9,total_pbmc,6.3
ENTPD1,10,non_classical_monocyte,5.6
ENTPD1,11,plasmacytoid_dc,1.9
ENTPD1,12,memory_cd4_t_cell,1.5
ENTPD1,13,nk_cell,1.5
ENTPD1,14,mait_t_cell,1.1
ENTPD1,15,memory_cd8_t_cell,1.1
ENTPD1,16,gdt_cell,0.6
ENTPD1,17,naive_cd4_t_cell,0.5
ENTPD1,18,naive_cd8_t_cell,0.5
ENTPD1,19,basophil,0.4
HAVCR2,1,myeloid_dc,100.5
HAVCR2,2,nk_cell,77.2
HAVCR2,3,intermediate_monocyte,50.5
HAVCR2,4,classical_monocyte,45.8
HAVCR2,5,non_classical_monocyte,37.5
HAVCR2,6,total_pbmc,15.7
HAVCR2,7,gdt_cell,12.1
HAVCR2,8,plasmacytoid_dc,11.8
HAVCR2,9,basophil,8.9
HAVCR2,10,t_reg,7.5
HAVCR2,11,naive_cd8_t_cell,6.5
HAVCR2,12,memory_cd8_t_cell,6.0
HAVCR2,13,naive_cd4_t_cell,4.4
HAVCR2,14,memory_cd4_t_cell,3.8
HAVCR2,15,mait_t_cell,2.0
HAVCR2,16,neutrophil,1.7
HAVCR2,17,memory_b_cell,0.8
HAVCR2,18,naive_b_cell,0.4
HAVCR2,19,eosinophil,0.1
ICOS,1,t_reg,25.4
ICOS,2,memory_cd4_t_cell,14.1
ICOS,3,naive_cd4_t_cell,14.0
ICOS,4,naive_cd8_t_cell,6.9
ICOS,5,memory_cd8_t_cell,6.8
ICOS,6,mait_t_cell,4.1
ICOS,7,gdt_cell,3.8
ICOS,8,total_pbmc,2.2
ICOS,9,nk_cell,0.5
ICOS,10,basophil,0.0
ICOS,11,classical_monocyte,0.0
ICOS,12,eosinophil,0.0
ICOS,13,intermediate_monocyte,0.0
ICOS,14,memory_b_cell,0.0
ICOS,15,myeloid_dc,0.0
ICOS,16,naive_b_cell,0.0
ICOS,17,neutrophil,0.0
ICOS,18,non_classical_monocyte,0.0
ICOS,19,plasmacytoid_dc,0.0
LAG3,1,gdt_cell,13.2
LAG3,2,memory_cd8_t_cell,10.9
LAG3,3,mait_t_cell,9.9
LAG3,4,naive_cd8_t_cell,4.1
LAG3,5,memory_cd4_t_cell,2.2
LAG3,6,t_reg,1.8
LAG3,7,naive_cd4_t_cell,0.6
LAG3,8,total_pbmc,0.4
LAG3,9,plasmacytoid_dc,0.2
